"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"05/03/2021","112.690","115.202","2,23","112.504","115.504","50,21B"
"04/03/2021","111.191","112.690","1,35","111.163","114.433","52,13B"
"03/03/2021","111.529","111.184","-0,32","107.466","112.398","n/d"
"02/03/2021","110.328","111.540","1,09","107.319","112.428","50,67B"
"01/03/2021","110.036","110.335","0,27","110.036","112.445","39,29B"
"26/02/2021","112.260","110.035","-2,07","109.827","113.466","54,77B"
"25/02/2021","115.668","112.358","-2,86","111.764","116.506","n/d"
"24/02/2021","115.229","115.668","0,38","114.668","116.208","42,46B"
"23/02/2021","112.676","115.227","2,27","112.667","115.380","52,66B"
"22/02/2021","118.388","112.668","-4,87","111.650","118.388","88,55B"
"19/02/2021","119.199","118.431","-0,64","117.867","119.250","38,68B"
"18/02/2021","120.361","119.199","-0,96","118.515","120.845","40,83B"
"17/02/2021","119.421","120.356","0,78","118.880","120.597","43,46B"
"12/02/2021","119.300","119.429","0,11","118.163","119.763","29,58B"
"11/02/2021","118.440","119.300","0,73","118.440","120.283","32,39B"
"10/02/2021","119.472","118.435","-0,87","117.970","119.738","37,31B"
"09/02/2021","119.696","119.472","-0,19","118.246","119.975","33,51B"
"08/02/2021","120.239","119.696","-0,45","119.140","120.844","33,76B"
"05/02/2021","119.261","120.240","0,82","119.261","121.117","35,27B"
"04/02/2021","119.728","119.261","-0,39","118.918","120.560","34,55B"
"03/02/2021","118.235","119.725","1,26","118.234","120.210","36,35B"
"02/02/2021","117.520","118.234","0,61","117.519","119.805","41,81B"
"01/02/2021","115.093","117.518","2,13","115.093","117.862","34,46B"
"29/01/2021","118.880","115.068","-3,21","114.973","118.880","37,05B"
"28/01/2021","115.882","118.883","2,59","115.734","119.355","38,72B"
"27/01/2021","116.463","115.882","-0,50","114.887","117.840","39,22B"
"26/01/2021","117.381","116.464","-0,78","116.109","119.167","38,44B"
"22/01/2021","118.318","117.380","-0,80","116.109","118.318","34,05B"
"21/01/2021","119.628","118.329","-1,10","117.785","120.243","35,43B"
"20/01/2021","120.645","119.646","-0,82","118.740","121.449","32,14B"
"19/01/2021","121.250","120.636","-0,50","119.257","122.120","33,65B"
"18/01/2021","120.351","121.242","0,74","120.351","122.586","51,18B"
"15/01/2021","123.472","120.349","-2,54","120.185","123.472","9,39M"
"14/01/2021","121.947","123.481","1,27","121.947","123.896","8,97M"
"13/01/2021","123.996","121.933","-1,67","121.016","124.032","66,97B"
"12/01/2021","123.255","123.998","0,60","123.227","124.584","37,54B"
"11/01/2021","125.075","123.255","-1,46","122.506","125.075","39,56B"
"08/01/2021","122.387","125.077","2,20","122.386","125.324","45,81B"
"07/01/2021","119.103","122.386","2,76","119.101","122.697","44,19B"
"06/01/2021","119.377","119.100","-0,23","118.917","120.924","43,23B"
"05/01/2021","118.835","119.376","0,44","116.756","119.790","34,37B"
"04/01/2021","119.024","118.855","-0,14","118.062","120.354","33,60B"
"30/12/2020","119.410","119.017","-0,33","118.919","120.150","32,09B"
"29/12/2020","119.130","119.409","0,24","118.750","119.861","23,77B"
"28/12/2020","117.806","119.124","1,12","117.805","119.213","25,26B"
"23/12/2020","116.636","117.807","1,00","116.636","118.311","25,37B"
"22/12/2020","115.825","116.636","0,70","115.648","116.903","26,80B"
"21/12/2020","118.021","115.823","-1,87","114.730","118.021","63,52B"
"18/12/2020","118.395","118.024","-0,32","117.638","119.370","35,99B"
"17/12/2020","117.864","118.401","0,46","117.856","119.027","31,82B"
"16/12/2020","116.149","117.857","1,47","115.496","118.178","35,81B"
"15/12/2020","114.613","116.149","1,34","114.613","116.390","30,62B"
"14/12/2020","115.137","114.611","-0,45","114.431","115.740","29,87B"
"11/12/2020","115.128","115.128","0,00","113.949","115.527","31,66B"
"10/12/2020","113.002","115.129","1,88","112.732","115.262","43,57B"
"09/12/2020","113.799","113.001","-0,66","112.567","114.020","32,09B"
"08/12/2020","113.590","113.793","0,18","112.820","114.381","32,00B"
"07/12/2020","113.751","113.590","-0,14","112.629","114.531","33,86B"
"04/12/2020","112.294","113.750","1,30","112.294","113.864","35,01B"
"03/12/2020","111.874","112.292","0,37","111.874","113.377","40,01B"
"02/12/2020","111.402","111.879","0,43","110.579","112.315","38,21B"
"01/12/2020","108.897","111.400","2,30","108.897","111.840","41,51B"
"30/11/2020","110.598","108.893","-1,52","108.829","110.934","52,62B"
"27/11/2020","110.229","110.575","0,32","110.161","111.603","31,07B"
"26/11/2020","110.133","110.227","0,09","109.418","110.245","23,35B"
"25/11/2020","109.786","110.133","0,32","109.315","110.596","31,34B"
"24/11/2020","107.378","109.786","2,24","107.361","109.956","39,28B"
"23/11/2020","106.050","107.379","1,26","106.050","107.495","31,40B"
"20/11/2020","106.670","106.042","-0,59","105.680","106.764","25,11B"
"19/11/2020","106.117","106.670","0,52","105.545","106.973","30,78B"
"18/11/2020","107.246","106.119","-1,05","106.043","107.467","33,80B"
"17/11/2020","106.430","107.249","0,77","105.847","107.810","36,80B"
"16/11/2020","104.729","106.430","1,63","104.729","106.518","54,98B"
"13/11/2020","102.509","104.723","2,16","102.509","104.726","33,65B"
"12/11/2020","104.810","102.507","-2,20","102.034","105.019","34,97B"
"11/11/2020","105.067","104.809","-0,25","104.143","105.462","34,47B"
"10/11/2020","103.516","105.067","1,50","103.453","105.758","51,12B"
"09/11/2020","100.954","103.515","2,57","100.954","105.147","51,91B"
"06/11/2020","100.751","100.925","0,17","99.837","101.104","27,71B"
"05/11/2020","97.873","100.751","2,95","97.872","100.922","32,98B"
"04/11/2020","95.992","97.867","1,97","95.987","98.296","32,98B"
"03/11/2020","93.968","95.980","2,16","93.968","96.350","31,31B"
"30/10/2020","96.579","93.952","-2,72","93.559","96.579","32,35B"
"29/10/2020","95.368","96.582","1,27","93.387","96.688","35,99B"
"28/10/2020","99.598","95.369","-4,25","95.369","99.598","27,13B"
"27/10/2020","101.017","99.606","-1,40","99.414","101.660","26,41B"
"26/10/2020","101.260","101.017","-0,24","99.762","101.784","21,89B"
"23/10/2020","101.918","101.260","-0,65","101.188","102.218","22,85B"
"22/10/2020","100.553","101.918","1,36","100.457","102.020","28,28B"
"21/10/2020","100.541","100.552","0,01","100.149","101.586","25,10B"
"20/10/2020","98.664","100.540","1,91","98.664","100.722","25,37B"
"19/10/2020","98.310","98.658","0,35","98.310","99.917","36,49B"
"16/10/2020","99.054","98.309","-0,75","98.309","99.172","22,59B"
"15/10/2020","99.328","99.054","-0,28","97.778","99.486","24,01B"
"14/10/2020","98.502","99.334","0,84","98.501","99.571","45,78B"
"13/10/2020","97.483","98.503","1,05","97.336","98.998","25,39B"
"09/10/2020","97.924","97.483","-0,45","97.161","98.642","29,13B"
"08/10/2020","95.530","97.920","2,51","95.530","97.938","27,65B"
"07/10/2020","95.616","95.526","-0,09","94.881","96.380","25,59B"
"06/10/2020","96.091","95.615","-0,49","95.211","97.405","21,87B"
"05/10/2020","94.019","96.089","2,21","93.984","96.414","22,69B"
"02/10/2020","95.475","94.016","-1,53","93.897","95.996","23,98B"
"01/10/2020","94.604","95.479","0,93","93.599","95.486","25,30B"
"30/09/2020","93.586","94.603","1,09","93.584","95.340","25,87B"
"29/09/2020","94.665","93.580","-1,15","93.408","95.505","24,54B"
"28/09/2020","97.005","94.666","-2,41","94.371","98.314","28,52B"
"25/09/2020","97.011","96.999","-0,01","95.632","97.012","20,01B"
"24/09/2020","95.735","97.012","1,33","95.653","97.955","25,77B"
"23/09/2020","97.294","95.735","-1,60","95.728","97.389","26,18B"
"22/09/2020","96.995","97.294","0,31","96.390","97.684","21,11B"
"21/09/2020","98.283","96.991","-1,32","95.820","98.283","39,22B"
"18/09/2020","100.098","98.290","-1,81","98.045","100.102","30,56B"
"17/09/2020","99.674","100.098","0,42","98.562","100.251","22,68B"
"16/09/2020","100.299","99.676","-0,62","99.663","100.663","24,85B"
"15/09/2020","100.277","100.298","0,02","99.647","100.949","25,38B"
"14/09/2020","98.367","100.275","1,94","98.367","100.520","25,01B"
"11/09/2020","98.839","98.363","-0,48","97.758","99.435","28,58B"
"10/09/2020","101.291","98.835","-2,43","98.687","101.536","27,35B"
"09/09/2020","100.050","101.292","1,24","100.050","101.578","24,86B"
"08/09/2020","101.239","100.050","-1,18","99.373","101.239","26,14B"
"04/09/2020","n/d","101.242","0,52","98.961","101.582","28,16B"
"03/09/2020","101.911","100.721","-1,17","99.751","103.226","39,39B"
"02/09/2020","102.168","101.911","-0,25","100.872","102.824","23,34B"
"01/09/2020","99.382","102.168","2,82","99.382","102.238","28,68B"
"31/08/2020","102.142","99.369","-2,72","99.369","102.142","32,52B"
"28/08/2020","100.631","102.143","1,51","100.631","102.347","23,35B"
"27/08/2020","100.625","100.624","0,00","99.857","101.548","22,80B"
"26/08/2020","102.119","100.627","-1,46","99.359","102.521","29,37B"
"25/08/2020","102.293","102.118","-0,18","101.623","102.708","23,57B"
"24/08/2020","101.525","102.298","0,77","101.525","102.515","23,25B"
"21/08/2020","101.460","101.521","0,05","100.412","101.566","24,40B"
"20/08/2020","100.853","101.468","0,61","99.131","101.749","28,52B"
"19/08/2020","102.072","100.854","-1,19","100.800","102.334","27,97B"
"18/08/2020","99.597","102.065","2,48","99.597","102.247","29,09B"
"17/08/2020","101.348","99.595","-1,73","98.513","101.689","45,31B"
"14/08/2020","100.469","101.353","0,89","100.445","101.717","28,84B"
"13/08/2020","102.118","100.461","-1,62","100.187","103.237","32,94B"
"12/08/2020","102.176","102.118","-0,06","100.698","103.116","57,20B"
"11/08/2020","103.449","102.174","-1,23","102.174","104.409","28,59B"
"10/08/2020","102.776","103.444","0,65","101.282","103.722","25,02B"
"07/08/2020","104.116","102.776","-1,30","101.957","104.126","29,28B"
"06/08/2020","102.795","104.126","1,29","102.795","104.523","26,41B"
"05/08/2020","101.220","102.802","1,57","101.220","103.763","30,67B"
"04/08/2020","102.826","101.216","-1,57","100.005","103.012","40,35B"
"03/08/2020","102.913","102.830","-0,08","102.304","103.863","30,62B"
"31/07/2020","105.010","102.912","-2,00","102.642","105.462","34,69B"
"30/07/2020","105.605","105.009","-0,56","103.920","105.607","29,23B"
"29/07/2020","104.112","105.605","1,44","104.112","105.704","28,01B"
"28/07/2020","104.477","104.109","-0,35","103.592","104.663","26,90B"
"27/07/2020","102.381","104.477","2,05","102.381","104.585","28,52B"
"24/07/2020","102.292","102.382","0,09","100.859","102.694","27,36B"
"23/07/2020","104.291","102.293","-1,91","102.119","104.949","29,35B"
"22/07/2020","104.312","104.290","-0,02","103.277","104.980","28,46B"
"21/07/2020","104.426","104.310","-0,11","103.732","105.449","33,18B"
"20/07/2020","102.888","104.426","1,49","102.744","104.439","39,46B"
"17/07/2020","100.554","102.888","2,32","100.554","103.017","29,64B"
"16/07/2020","101.791","100.553","-1,22","100.160","101.792","24,00B"
"15/07/2020","100.444","101.791","1,34","100.444","102.114","28,79B"
"14/07/2020","98.699","100.440","1,77","98.289","100.632","29,42B"
"13/07/2020","100.027","98.697","-1,33","98.697","100.858","28,27B"
"10/07/2020","99.160","100.032","0,88","98.739","100.101","24,38B"
"09/07/2020","99.770","99.160","-0,61","98.861","100.191","26,54B"
"08/07/2020","97.765","99.770","2,05","97.765","99.973","26,60B"
"07/07/2020","98.937","97.761","-1,19","97.272","98.938","25,54B"
"06/07/2020","96.776","98.937","2,24","96.768","99.257","14,37B"
"03/07/2020","96.237","96.765","0,55","95.803","96.765","14,61B"
"02/07/2020","96.206","96.235","0,03","96.052","97.864","27,02B"
"01/07/2020","95.062","96.203","1,21","95.062","96.852","28,23B"
"30/06/2020","95.728","95.056","-0,71","94.806","96.257","27,40B"
"29/06/2020","n/d","95.735","2,03","93.825","95.735","22,27B"
"26/06/2020","95.979","93.834","-2,24","93.514","95.979","23,15B"
"25/06/2020","94.382","95.983","1,70","94.152","96.260","23,30B"
"24/06/2020","95.974","94.377","-1,66","93.259","95.974","25,94B"
"23/06/2020","95.344","95.975","0,67","95.344","97.486","17,67B"
"22/06/2020","96.572","95.336","-1,28","94.869","96.870","23,20B"
"19/06/2020","96.138","96.572","0,46","95.874","97.540","38,67B"
"18/06/2020","95.547","96.125","0,60","94.698","97.110","27,85B"
"17/06/2020","93.531","95.547","2,16","93.531","96.611","30,33B"
"16/06/2020","92.387","93.531","1,25","92.387","95.216","n/d"
"15/06/2020","92.780","92.376","-0,45","90.148","93.112","42,92B"
"12/06/2020","94.677","92.795","-2,00","90.811","94.703","35,60B"
"10/06/2020","96.747","94.686","-2,13","94.665","97.646","33,77B"
"09/06/2020","97.644","96.747","-0,92","95.386","97.644","31,41B"
"08/06/2020","94.640","97.645","3,18","94.635","97.693","32,86B"
"05/06/2020","93.839","94.637","0,86","93.839","97.198","n/d"
"04/06/2020","92.993","93.829","0,89","92.221","94.132","31,27B"
"03/06/2020","91.048","93.002","2,15","91.048","93.710","36,43B"
"02/06/2020","88.622","91.046","2,74","88.622","91.046","29,49B"
"01/06/2020","87.395","88.620","1,38","86.837","89.019","24,96B"
"29/05/2020","86.951","87.410","0,53","85.384","87.410","n/d"
"28/05/2020","87.946","86.949","-1,13","86.767","88.091","23,79B"
"27/05/2020","85.468","87.946","2,90","85.468","87.946","26,14B"
"26/05/2020","85.668","85.469","-0,23","85.396","87.333","27,62B"
"25/05/2020","82.198","85.663","4,25","82.193","85.876","21,35B"
"22/05/2020","83.027","82.173","-1,03","81.669","83.027","21,49B"
"21/05/2020","81.320","83.027","2,10","81.317","83.309","n/d"
"20/05/2020","80.747","81.319","0,71","80.740","82.290","22,78B"
"19/05/2020","81.197","80.742","-0,56","80.647","82.175","24,61B"
"18/05/2020","77.576","81.194","4,69","77.571","81.420","34,50B"
"15/05/2020","79.011","77.557","-1,84","77.426","79.538","25,98B"
"14/05/2020","77.770","79.011","1,59","75.697","78.892","n/d"
"13/05/2020","77.877","77.772","-0,13","77.152","78.911","25,24B"
"12/05/2020","79.065","77.872","-1,51","77.872","80.344","22,77B"
"11/05/2020","80.263","79.065","-1,49","78.994","80.723","21,38B"
"08/05/2020","78.152","80.263","2,75","78.152","80.557","23,03B"
"07/05/2020","79.072","78.119","-1,20","78.061","80.061","30,96B"
"06/05/2020","79.473","79.064","-0,51","78.056","79.996","21,84B"
"05/05/2020","78.887","79.471","0,75","78.886","81.066","20,15B"
"04/05/2020","80.501","78.876","-2,02","77.640","80.502","19,33B"
"30/04/2020","83.169","80.506","-3,20","80.168","83.169","27,42B"
"29/04/2020","81.313","83.171","2,29","81.313","83.598","22,21B"
"28/04/2020","78.243","81.312","3,93","78.243","81.427","27,32B"
"27/04/2020","75.334","78.239","4,03","75.327","78.563","24,32B"
"24/04/2020","79.667","75.208","-5,60","72.041","79.667","36,43B"
"23/04/2020","80.690","79.673","-1,26","78.622","81.934","24,76B"
"22/04/2020","78.973","80.687","2,17","78.973","81.184","24,46B"
"20/04/2020","78.989","78.973","-0,02","76.943","80.106","35,23B"
"17/04/2020","77.817","78.990","1,51","77.754","79.846","19,92B"
"16/04/2020","78.837","77.812","-1,29","77.452","80.167","21,20B"
"15/04/2020","79.911","78.831","-1,36","77.546","80.035","97,61B"
"14/04/2020","78.848","79.918","1,37","78.848","81.668","21,32B"
"13/04/2020","77.682","78.836","1,49","76.405","78.836","17,75B"
"09/04/2020","78.640","77.682","0,51","78.640","80.428","11,75B"
"08/04/2020","76.335","78.903","3,33","76.115","78.971","17,00B"
"07/04/2020","74.078","76.358","3,67","74.078","79.855","26,71B"
"06/04/2020","69.556","73.657","6,52","69.556","75.260","15,28B"
"03/04/2020","72.241","69.538","-3,76","67.802","72.241","22,27B"
"02/04/2020","70.969","72.253","1,81","70.957","73.861","23,42B"
"01/04/2020","73.011","70.967","-2,81","69.569","73.011","21,88B"
"31/03/2020","74.629","73.020","-2,17","73.104","75.511","17,65B"
"30/03/2020","73.431","74.639","1,65","73.184","75.430","19,94B"
"27/03/2020","77.708","73.429","-5,51","73.057","77.708","23,84B"
"26/03/2020","74.956","77.710","3,67","74.923","78.846","30,17B"
"25/03/2020","69.727","74.956","7,50","69.360","76.714","28,86B"
"24/03/2020","63.604","69.729","9,69","63.604","71.535","26,10B"
"23/03/2020","67.067","63.570","-5,22","62.161","67.604","25,25B"
"20/03/2020","68.344","67.069","-1,85","66.120","72.247","30,68B"
"19/03/2020","66.883","68.332","2,15","61.691","70.071","27,31B"
"18/03/2020","74.576","66.895","-10,35","63.547","74.576","29,29B"
"17/03/2020","71.178","74.617","4,85","70.783","77.255","33,61B"
"16/03/2020","82.565","71.168","-13,92","70.855","82.565","40,85B"